"","tweetText","tweetCreated","tweetLength","negSentiment","neuSentiment","posSentiment","comSentiment","Company","label"
"1",".@AppleSupport Question about the new Apple News+...If I subscribe and I travel internationally, can I download magazines &amp; newspapers in foreign countries while I<U+0092>m there or do I need to have them downloaded to my phone before I travel? Thanks!",2019-04-12 15:42:42,249,0,0.914,0.086,0.4926,"Apple","Positive"
"2","@AppleSupport Well that<U+0092>s odd...its working now...
I should have mentioned that I did try all of those things in the post, and they did not work",2019-04-12 15:42:20,144,0,0.916,0.084,0.2732,"Apple","Positive"
"3","@AppleSupport @Apple latest unavoidable  <U+0093>we<U+0092>re gonna do it whether you like it or not<U+0094> coerced update has rendered the iphone <U+0093>phone<U+0094> function USELESS. No calls possible. Thanks yet again Apple. I swear you guys do it on purpose.  #applesucks",2019-04-12 15:41:43,243,0.201,0.683,0.115,-0.4648,"Apple","Negative"
"4","@AppleSupport I<U+0092>m using iPhone XR and the version is 12.2. I restarted, soft reset, turned off the Face ID and now it won<U+0092>t let me set up.",2019-04-12 15:41:13,138,0,1,0,0,"Apple","Neutral"
"5","How do Mac users track @AppleSupport issues? I'm experiencing this issue w/ 2,154 upvotes on their forums, authentication loop b/w Gmail in Mail app and Safari after updating from OS 10.14.3 to 10.14.4. It's pretty funny to break the ol' work email client: https://t.co/yEoI0YEbkT",2019-04-12 15:38:05,280,0,0.873,0.127,0.7269,"Apple","Positive"
"6","@yenzerr @AppleSupport Aha thanks ??",2019-04-12 15:37:43,35,0,0.534,0.466,0.7269,"Apple","Positive"
"7","@AppleSupport It's always some random number though. So after I tell them to ""F*** off and get a real job"" I then have to spend more of my time blocking every single number that calls in. Thanks for your response Apple Support Team. https://t.co/bus473T2pc",2019-04-12 15:37:01,256,0.056,0.769,0.175,0.5574,"Apple","Neutral"
"8","Anyone with a iPhone 7 or 7s don<U+0092>t do the latest iOS upgrade,it creates a fault on your phone to which @Apple and @AppleSupport deny and liability for. My phone is as good as new,done update and now callers can<U+0092>t hear me or I hear them. Google it it<U+0092>s common. Corrupt company.",2019-04-12 15:36:01,276,0.126,0.783,0.091,-0.2263,"Apple","Negative"
"9","@AppleSupport How to stop the update? It<U+0092>s ruin my day! I<U+0092>m using paid wifi!! https://t.co/5vRKIEXjEk",2019-04-12 15:34:55,101,0.346,0.654,0,-0.783,"Apple","Negative"
"10","@StevenPlague @AppleSupport Hi this is susie from card services calling about new rates on your card account",2019-04-12 15:33:57,108,0,1,0,0,"Apple","Neutral"
"11","@AppleSupport I need to ask a question about the ipad pro, I sent a message",2019-04-12 15:32:27,75,0,1,0,0,"Apple","Neutral"
"12","@AppleSupport WHY DOES MY FACE I.D. SUDDENLY NOT WORK ??????????? https://t.co/nA7BLj8AQH",2019-04-12 15:31:49,89,0,1,0,0,"Apple","Negative"
"13","@AppleSupport hello? you still there?",2019-04-12 15:29:29,37,0,1,0,0,"Apple","Neutral"
"14","My voicemail just cost me a ??. Apparently someone called me last Saturday needing last minute design work and the VM just came in today. This isn't the first time it's happened. Help @VZWSupport and @AppleSupport ! iOS 12.1.4 Model: MT382LL/A",2019-04-12 15:28:14,242,0,0.927,0.073,0.4574,"Apple","Positive"
"15","@SamPayne14 @AppleSupport WELL DONE ON COMPLETE DISSO!",2019-04-12 15:27:59,54,0,0.658,0.342,0.481,"Apple","Positive"
"16","@AppleSupport  My son tried to cancel this immediately but was unable. PLEASE CANCEL THIS. you didnt notify us until a week later!LB Tap Sports Baseball 2019, Stack of Gold - 20% disc Promo
Apr 07, 2019 In-App Purchase $3.99",2019-04-12 15:27:23,224,0.124,0.783,0.093,-0.088,"Apple","Negative"
"17","@SamPayne14 @AppleSupport funnily enough apple guy told me to plug my phone in and it<U+0092>s now resolving the issue",2019-04-12 15:26:27,111,0,0.756,0.244,0.6705,"Apple","Positive"
"18","@AppleSupport So yeah, that was my original point. Unless i'm mistaken the guide advises that Bluetooth re-activates just because it is 5am. Great.",2019-04-12 15:25:26,147,0.082,0.625,0.293,0.7501,"Apple","Positive"
"19",".@AppleSupport check your DMs. Thanks.",2019-04-12 15:23:30,38,0,0.58,0.42,0.4404,"Apple","Positive"
"20","@AppleSupport hello apple I have contacted you few days  ago about my signal bars not fluctuating on CarPlay using 2 different vehicles and three phones, iPhone 8,xr, xs max all on 12.2 all have that bug. Used iPhone 6 with 12.3 beta and it works fine. There is a bug in 12.2",2019-04-12 15:22:54,275,0,0.963,0.037,0.2023,"Apple","Positive"
"21","Why ads pop up every time I open App Store @AppleSupport ? This is a recent occurrence",2019-04-12 15:22:29,86,0,1,0,0,"Apple","Neutral"
"22","Ever since I switched from Android to Apple I have been receiving a ridiculous amount of spam calls every week regarding car insurance, vehicle extended warranties, health coverage &amp; other random BS. It's getting really annoying. @AppleSupport #AppleDoesNotCare #FixThisApple https://t.co/C5dBRuZYyg",2019-04-12 15:22:13,303,0.19,0.81,0,-0.7902,"Apple","Negative"
"23","@AppleSupport Thanks guys, with assistance from your support team<U+0085> I was able to fix the problem! Now I can go back to making tunes and get this promo for my next album done with<U+0085>",2019-04-12 15:21:42,179,0.072,0.771,0.157,0.4926,"Apple","Positive"
"24","@AppleSupport Just wondered why your UNiDAYS discount prices the product the same as without the discount. 10% discount was taken off, but VAT added to bring it back up to <U+00A3>159. The same price as without the discount (VAT is already included) https://t.co/Gymf9dqXyh",2019-04-12 15:21:04,266,0,1,0,0,"Apple","Neutral"
"25","@AppleSupport . I now have the latest Xcode, and the latest Visual Studio for Mac works with it. I suspect the problem could be updating the system software that effects the appstore display change.",2019-04-12 15:18:02,198,0.145,0.855,0,-0.5994,"Apple","Negative"
"26","@AppleSupport . I looked at network and disk activity, it seemed it was downloading Xcode. So, I set the machine to not turn off when the display is off and let it complete the download.  ...",2019-04-12 15:17:32,191,0,1,0,0,"Apple","Neutral"
"27","@AppleSupport . I clicked on update for Xcode and it started to download the app. After a while the appstore display like yesterday changed to no updates. But, the Xcode in finder showed activity. Like yesterday, clicking on Xcode it said you can<U+0092>t run the app while downloading.",2019-04-12 15:16:39,279,0.033,0.864,0.103,0.5267,"Apple","Positive"
"28","@AppleSupport Thank you. Yesterday, I removed the cache directory for the appstore on my MacMini hoping to reset the application, but it didn<U+0092>t work. Today, after bringing the machine up again, app store displayed apps that need update properly.  ...",2019-04-12 15:15:32,250,0,0.91,0.09,0.3919,"Apple","Positive"
"29","Thesis defence in 1 week. SEND HELP. @Apple @AppleSupport @PowerMacCenter https://t.co/GGavz56TuR",2019-04-12 15:10:41,97,0,0.623,0.377,0.5904,"Apple","Neutral"
