tweetText,tweetCreated,tweetLength,negSentiment,neuSentiment,posSentiment,comSentiment,Company,label
It it safe to drive until my service appt? @TeslaSupport https://t.co/e0uDCzO1Li,2019-04-12T14:56:18Z,80,0,0.775,0.225,0.4404,Tesla,Neutral
"@KartikGuptaa @elonmusk @Tesla @TeslaSupport If you want to send an email, use servicena@tesla.com",2019-04-12T08:45:05Z,98,0,0.902,0.098,0.0772,Tesla,Positive
@AaronTheH @TeslaSupport Thanks! We did try that.,2019-04-12T05:17:52Z,49,0,0.653,0.347,0.4926,Tesla,Positive
"@austinflack @TeslaSupport A friend said try rebooting your screen, if you haven’t",2019-04-12T05:13:36Z,82,0,0.758,0.242,0.4939,Tesla,Positive
"@j_salvo @TeslaSupport Thankfully, the screen is a separate system from the actual driving system.

But... it’s not reassuring.",2019-04-12T04:42:54Z,127,0.113,0.748,0.14,0.1386,Tesla,Negative
@austinflack @TeslaSupport Just let it drive where it wants Austin!,2019-04-12T04:35:58Z,67,0,1,0,0,Tesla,Neutral
?@TeslaSupport? This has happened three times this week. Earliest maintenance appointment I could get was 3 weeks from now. Please help! https://t.co/ITxw9tc6CA,2019-04-12T04:30:40Z,160,0,0.773,0.227,0.6476,Tesla,Positive
@Tesla @elonmusk @TeslaSupport I received an email on October 2nd 2017 that I was in the early access program. Tesla support rep last week said not showing in system. Have sent two emails to early access dept in last 3 mo with no answer. #tesla #help https://t.co/HHGwJj2eOE,2019-04-11T23:16:13Z,274,0.047,0.896,0.058,0.128,Tesla,Negative
"@TeslaSupport I recently bought a nearly new (2,076 miles) Model 3 Performance. Submitted email for change of ownership including all info per website. How long does it take to process?",2019-04-10T22:14:00Z,185,0,1,0,0,Tesla,Neutral
@elonmusk @Tesla @TeslaSupport what’s the best way to send first hand feedback about Service or anyone I can connect with? I wish I loved the service team as much I love my car.,2019-04-10T20:14:04Z,177,0,0.569,0.431,0.9595,Tesla,Positive
"@Tesla @TeslaSupport totally agree. Bought an Paid for FSD, but no one can tell me when it actually will be activated. What is the problem? Regulatory or just enormous backlog? https://t.co/CgSNJofne1",2019-04-10T15:34:27Z,200,0.183,0.765,0.052,-0.7016,Tesla,Neutral
@TeslaSupport @Tesla @elonmusk  I have also sent an email to the customer support email address regarding my Model 3 order being delayed outside of my 2-4 week delivery window.  Tesla has cost me $900 as a direct result of this delay.  What will be done to make this right?,2019-04-09T19:18:32Z,273,0.09,0.856,0.054,-0.2083,Tesla,Positive
@DesertDog250R @Tesla @TeslaSupport ?? I’ll tell u al about it,2019-04-09T02:42:18Z,61,0,1,0,0,Tesla,Positive
RT @moonchic: @Because_Bacon @Tesla @TeslaSupport I'm still so upset. FSD can keep everything else but Auto Lane Change needs to come back…,2019-04-09T00:24:40Z,139,0.094,0.906,0,-0.2922,Tesla,Negative
@ItisGabP @Tesla @TeslaSupport Did you get it resolved ?,2019-04-08T15:06:46Z,56,0,0.805,0.195,0.1779,Tesla,Positive
"@tesla @elonmusk @TeslaSupport 
Can you update the app/our accounts to show/download history of supercharging expenses by date range?

Thanks in advance.

Oh, and if this ability already exists,  how do I get to it?",2019-04-08T13:58:13Z,215,0,0.84,0.16,0.7082,Tesla,Positive
"@losman1976 @SteveWPNW @RichardKeppler1 @lopezlinette @russ1mitchell @danahull @davidtayar5 @PJHORNAK @S_Padival Being funded by $tslaq seems like a conflict of interest with your @tesla employer, no? @TeslaSupport You get donations and then write about the problems inside the company? Do you have any NDAs there? $tsla",2019-04-08T11:30:26Z,320,0.151,0.742,0.107,-0.3049,Tesla,Negative
"Ok, we’ll 40 mins later and no answers from @Tesla @TeslaSupport or @elonmusk, but thank u @iD_Lew! Makes me second guess the real safety of this car ??????? #TeslaModel3",2019-04-08T00:04:07Z,168,0.042,0.728,0.23,0.8043,Tesla,Positive
"Well, since @Tesla &amp; @TeslaSupport hasn’t helped, any #TeslaModel3 owners, can u help? How do I restart my touchscreen ?? https://t.co/0mysPwUoc3",2019-04-07T23:51:07Z,148,0.12,0.695,0.185,0.1779,Tesla,Positive
@TeslaSupport help,2019-04-07T23:33:12Z,18,0,0.27,0.73,0.4019,Tesla,Positive
Hi @elonmusk @TeslaSupport @Tesla  did you get my last message? I need help with my #Tesla #Powerwall https://t.co/c7M4x4YMc3,2019-04-07T21:35:08Z,125,0,0.856,0.144,0.4019,Tesla,Positive
@Tesla @TeslaSupport any update to the ability to stream PLS format over the Tesla network on Model 3 ? My local ESPNRadio station streams the Mariners games over PLS and does not connect when Tesla is on its own LTE connection. Works great when connected to WiFi.,2019-04-07T21:12:56Z,264,0,0.797,0.203,0.8579,Tesla,Positive
@Tesla @Model3Owners @TeslaSupport Looks fishy &amp;Spam. Just got back from Tesla service center in Paramus NJ. And I received this mail. Please advise. https://t.co/Z7CihwiEUg,2019-04-06T17:41:55Z,177,0,0.905,0.095,0.3182,Tesla,Positive
Will there be some more Tesla supercharger in Norway - Oslo? @elonmusk @Tesla @TeslaSupport https://t.co/XdaX16Zb0X,2019-04-06T11:48:36Z,115,0,1,0,0,Tesla,Neutral
Hi @TeslaSupport @Tesla @elonmusk @Teslarati did you get my last message? https://t.co/c7M4x4YMc3,2019-04-06T09:47:33Z,97,0,1,0,0,Tesla,Positive
@FamousKJStyles @scot_work @mysticl @TeslaSupport @Tesla Yeah!  RJ my case man told me that a lot of TESLA owners are suffering the same experience as me. but I am the person who really waited so long.,2019-04-05T19:50:08Z,201,0.067,0.887,0.046,-0.1882,Tesla,Negative
"@steven5188 @scot_work @mysticl @TeslaSupport @Tesla That is INSANE, the price to repair. I was not able to find your X, but there were a ton of other Tesla’s waiting for repair. https://t.co/IrclTJabTa",2019-04-05T19:47:05Z,202,0.071,0.929,0,-0.2997,Tesla,Positive
"@FamousKJStyles @scot_work @mysticl @TeslaSupport @Tesla I got my car back on Mar 15th in Irvine Spectrum collision center, I also sold it on the same day, I don't even keep TESLA in a second. https://t.co/iLLWY6tCiS",2019-04-05T19:37:43Z,216,0.077,0.923,0,-0.3612,Tesla,Negative
"@Tesla @elonmusk please help - I have had Tesla Powerwall 2 installed in November 2018 by a local company in Kent, United Kingdom. Since about February, the battery started malfunctioning and basically doesn't work most of the time. I am not impressed with EU @TeslaSupport HELP! https://t.co/BnOoREKwgH",2019-04-05T15:12:27Z,303,0.05,0.724,0.226,0.839,Tesla,Positive
"@elonmusk I WANT TO CARRY A GUN IN MY GLOVEBOX FOR PROTECTION IN MY @Tesla BUT I HAVE KIDS, PLEASE UPDATE MY CAR WITH A PINCODE JUST LIKE HOW I START MY CAR SO MY KIDS NOR ANYONE CAN TOUCH THE GUN, I WOULD GREATLY APPRECIATE IT. TY!! @TeslaSupport",2019-04-05T03:12:16Z,247,0.097,0.555,0.348,0.9602,Tesla,Neutral
#TETRIS AND Pincode for glovebox @Tesla @elonmusk @TeslaSupport https://t.co/uGIpnTyMiO,2019-04-05T00:45:10Z,87,0,1,0,0,Tesla,Neutral
@KartikGuptaa @elonmusk @TeslaSupport @Tesla Elon @elonmusk  will only help you via Twitter if you have a blue check mark next to your name.,2019-04-05T00:40:21Z,140,0,0.886,0.114,0.4019,Tesla,Positive
RT @KartikGuptaa: @elonmusk @TeslaSupport @Tesla Another issue with my car! Front left tire loosing air since the day I have received the v…,2019-04-05T00:29:18Z,140,0,1,0,0,Tesla,Neutral
