"","tweetText","tweetCreated","tweetLength","negSentiment","neuSentiment","posSentiment","comSentiment","Company","label"
"1","RT @MLS: ?? San Pedro Sula, Honduras ????

@alberthelis17 is known for scoring goals on the field, but <U+0093>La Pantera<U+0094> makes his mark off the fie<U+0085>",2019-04-12 15:42:02,140,0,1,0,0,"Wells Fargo","Neutral"
"2","RT @MLS: ?? San Pedro Sula, Honduras ????

@alberthelis17 is known for scoring goals on the field, but <U+0093>La Pantera<U+0094> makes his mark off the fie<U+0085>",2019-04-12 15:42:01,140,0,1,0,0,"Wells Fargo","Neutral"
"3","@bevandton @jornreinsel @SokoAfricanus @SenWarren @WellsFargo just because someone had money doesn't mean they can't criticize the wealthy. That's like saying skinny people can't complain about calories. Or coal miners can't complain about black lung. Or environmentalists can't complain about brown-outs. People fat paid for their work",2019-04-12 15:41:57,336,0.04,0.753,0.207,0.7848,"Wells Fargo","Positive"
"4","Out with team members from @WellsFargo on #TeachChildrenToSave day. Enjoyed coffee at @CodeCoffeeReno . It feels great to #Volunteer https://t.co/KYiogQ02re",2019-04-12 15:39:29,156,0,0.697,0.303,0.8126,"Wells Fargo","Positive"
"5","RT @MiamiSup: #STEAM hot! The new robotics lab at @SilverBluffElem, made possible by a generous contribution and collaboration between the<U+0085>",2019-04-12 15:38:37,139,0,0.834,0.166,0.5562,"Wells Fargo","Positive"
"6","@Juelz_89 @WellsFargo Definitely ain<U+0092>t new",2019-04-12 15:38:10,42,0,0.597,0.403,0.4019,"Wells Fargo","Positive"
"7","@davidhogg111 I just moved my personal and business banking to @Chase, and have a call in to @WellsFargo to refinance my house.

Happy Birthday! #2A",2019-04-12 15:37:43,148,0,0.846,0.154,0.6114,"Wells Fargo","Positive"
"8","@WellsFargo is helping kids understand the concepts behind earning, spending, sharing and saving, and learning how they can apply these concepts at home! #teachachildtosaveday #TeachChildrentoSaveDay https://t.co/0UYemkXTAh",2019-04-12 15:37:04,223,0,0.819,0.181,0.6476,"Wells Fargo","Negative"
"9","@davidhogg111 Closed my @WellsFargo account for multiple ethical reasons. #GunControlNow #StandingRock",2019-04-12 15:36:41,102,0,0.752,0.248,0.5106,"Wells Fargo","Positive"
"10","RT @WellsFargo: You still have time to file your federal income taxes. If you, or anyone you know, are customers planning to use @TurboTax,<U+0085>",2019-04-12 15:33:47,140,0,1,0,0,"Wells Fargo","Neutral"
"11","@Juelz_89 @WellsFargo We all know da joos run da banks that<U+0092>s their come up",2019-04-12 15:32:47,75,0,1,0,0,"Wells Fargo","Negative"
"12","RT @GRID_SD: We<U+0092>re glad to be out in #Escondido today with a team from @WellsFargo, installing #solar for a GRID family on this perfectly s<U+0085>",2019-04-12 15:32:32,140,0,0.724,0.276,0.8402,"Wells Fargo","Positive"
"13","RT @CathyPe78176224: @musser_benson @BeyondTheBantr @laserhaas01 @WellsFargo @realDonaldTrump @MarkCalabria @TGowdySC Considering the Too b<U+0085>",2019-04-12 15:32:26,140,0,1,0,0,"Wells Fargo","Neutral"
"14","@musser_benson @BeyondTheBantr @laserhaas01 @WellsFargo @realDonaldTrump @MarkCalabria @TGowdySC Considering the Too big to fail banks are all over the world. The entire world is faced with this fraud foreclosure corruption. The Brilliant SLIM MASTER was smart enough to keep it far apart from one another. Then it became GREED GREED GREED and it just snowballed all over.",2019-04-12 15:31:17,372,0.266,0.646,0.087,-0.9231,"Wells Fargo","Neutral"
"15","Spending the morning volunteering @classrmcentral  along with 25 fellow @wellsfargo employees doing various activities #CLT #dogood #volunteeringweek #dayofcaring #WellsFargoVolunteerring https://t.co/G5IBE4Yb4h",2019-04-12 15:30:53,211,0,1,0,0,"Wells Fargo","Neutral"
